id,title,slug,url,canonical_slug,review_required,ai_notes
1046,XT2 LX46,xt2-lx46-2,https://reyco.glvmarketing.ca/product/xt2-lx46-2/,xt2-lx46,N,R140 XT2 LX46 — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an existing product (li
1045,XT1 LT42 IntelliPOWER,xt1-lt42-intellipower-4,https://reyco.glvmarketing.ca/product/xt1-lt42-intellipower-4/,xt1-lt42-intellipower,N,R141 XT1 LT42 IntelliPOWER — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an existin
1043,XT1 LT42 IntelliPOWER,xt1-lt42-intellipower-3,https://reyco.glvmarketing.ca/product/xt1-lt42-intellipower-3/,xt1-lt42-intellipower,N,R143 XT1 LT42 IntelliPOWER — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an existin
1042,XT1 LT42 IntelliPOWER,xt1-lt42-intellipower-2,https://reyco.glvmarketing.ca/product/xt1-lt42-intellipower-2/,xt1-lt42-intellipower,N,R144 XT1 LT42 IntelliPOWER — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an existin
740,2025 Cub Cadet 17ARGBYNA10,2025-cub-cadet-17argbyna10-2,https://reyco.glvmarketing.ca/product/2025-cub-cadet-17argbyna10-2/,2025-cub-cadet-17argbyna10,N,R154 2025 Cub Cadet 17ARGBYNA10 — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an ex
739,2026 Toro 77404,2026-toro-77404-3,https://reyco.glvmarketing.ca/product/2026-toro-77404-3/,2026-toro-77404,N,R155 2026 Toro 77404 — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an existing prod
730,2026 Toro 77404,2026-toro-77404-2,https://reyco.glvmarketing.ca/product/2026-toro-77404-2/,2026-toro-77404,N,R164 2026 Toro 77404 — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an existing prod
729,2026 Toro 22217,2026-toro-22217,https://reyco.glvmarketing.ca/product/2026-toro-22217/,2026-toro,Y,R165 2026 Toro 22217 — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an existing prod
727,XT1 LT50 FAB,2026-cub-cadet-13aqa1tla10-4,https://reyco.glvmarketing.ca/product/2026-cub-cadet-13aqa1tla10-4/,2026-cub-cadet-13aqa1tla10,N,R167 XT1 LT50 FAB — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an existing product
726,XT1 LT50 FAB,2026-cub-cadet-13aqa1tla10-3,https://reyco.glvmarketing.ca/product/2026-cub-cadet-13aqa1tla10-3/,2026-cub-cadet-13aqa1tla10,N,R168 XT1 LT50 FAB — DUPLICATE PRODUCT — slug has '-N' suffix indicating WP auto-generated variant of an existing product
