id,title,slug,url,ai_check,ai_notes,recommended_action
116,Accessories,accessories,https://reyco.glvmarketing.ca/reyco-category/accessories/,"Needs Finalization, Delete","R514 Accessories — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
97,ACE NV,ace-nv,https://reyco.glvmarketing.ca/reyco-category/ace-nv/,"Needs Finalization, Delete","R515 ACE NV — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
127,APEX 13,apex-13,https://reyco.glvmarketing.ca/reyco-category/apex-13/,"Needs Finalization, Delete","R516 APEX 13 — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
128,APEX 16,apex-16,https://reyco.glvmarketing.ca/reyco-category/apex-16/,"Needs Finalization, Delete","R517 APEX 16 — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
129,APEX 19,apex-19,https://reyco.glvmarketing.ca/reyco-category/apex-19/,"Needs Finalization, Delete","R518 APEX 19 — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
126,APEX Series,apex-series,https://reyco.glvmarketing.ca/reyco-category/apex-series/,"Needs Finalization, Delete","R519 APEX Series — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
189,Articulating Hedge Trimmers,articulating-hedge-trimmers,https://reyco.glvmarketing.ca/reyco-category/articulating-hedge-trimmers/,"Needs Finalization, Delete","R520 Articulating Hedge Trimmers — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
69,ATVs,atvs,https://reyco.glvmarketing.ca/reyco-category/atvs/,"Needs Finalization, Delete","R521 ATVs — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
45,B,b,https://reyco.glvmarketing.ca/reyco-category/b/,"Needs Finalization, Delete","R522 B — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
55,Blowers,blowers,https://reyco.glvmarketing.ca/reyco-category/blowers/,"Needs Finalization, Delete","R523 Blowers — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
