sku,ls_id,make,model,tag_main_category,tag_subcategory,tag_brand,tag_product_name,flags
2025-MERCURY-ME-2.5MH-4S-TMC-4,33914,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
2026-CUB-CADET-13A6A9TS596-13A6A9TS596,57647,Cub Cadet,13A6A9TS596,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT42,
2025-MERCURY-ME-2.5MH-4S-TMC-8,33926,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
2025-MERCURY-ME-6MH-20,33958,Mercury,ME 6MH,Marine,Outboards,Mercury,ME 6MH,
2025-MERCURY-ME-2.5MH-4S-TMC-2,33908,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
2025-MERCURY-ME-2.5MH-4S-TMC-3,33911,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
2026-TORO-75747-444,56397,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,
2025-MERCURY-ME-2.5MH-4S-TMC-10,33932,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
2025-MERCURY-ME-5MH-24,33968,Mercury,ME 5MH,Marine,Outboards,Mercury,ME 5MH,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
2025-MERCURY-ME-2.5MH-4S-TMC-5,33917,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
