sku,product_title,brand,image_url,image_alt,source_site,status,notes,image_count,image_categories,shortfall_vs_target,reyco_product_url
TORO-72504-LS,Toro GrandStand 48 in. Turbo Force Deck 22 hp Kaw 726cc,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_133e3419-5b79-463b-af5c-ce1847645f4b/Large,Toro GrandStand 48 in. Turbo Force Deck 22 hp Kaw 726cc,toro.com,flag-shortfall,Toro CDN: 1 images,1,hero,3,https://reyco.glvmarketing.ca/product/toro-grandstand-48-in-turbo-force-deck-22-hp-kaw-726cc/
TORO-74532-LS,Toro GRANDSTAND HDM 32 IN KAWI 18.5HP,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_2fd53d03-1bf8-4881-a283-7224cb0d4885/Large,Toro GRANDSTAND HDM 32 IN KAWI 18.5HP,toro.com,ready,Toro CDN: 6 images,6,"hero,studio",0,https://reyco.glvmarketing.ca/product/toro-grandstand-hdm-32-in-kawi-18-5hp/
TORO-75747-LS,Toro 42 in. TimeCutter MyRIDE Zero Turn Mower,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_51d2c948-b622-46c9-b081-8ea657f8cb17/Large,Toro 42 in. TimeCutter MyRIDE Zero Turn Mower,toro.com,ready,Toro CDN: 6 images,6,"hero,studio",0,https://reyco.glvmarketing.ca/product/toro-42-in-timecutter-myride-zero-turn-mower/
TORO-76501-LS,Toro 54 in. TITAN Zero Turn Mower,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_bd8bf775-8af8-4c87-be36-7e411a53398c/Large,Toro 54 in. TITAN Zero Turn Mower,toro.com,ready,Toro CDN: 6 images,6,"hero,studio",0,https://reyco.glvmarketing.ca/product/toro-54-in-titan-zero-turn-mower/
TORO-77283-LS,Toro 52in 2000 Z MASTER TF2 DECK 24.5 HP V TWIN,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_1e6e4f3f-f122-4920-b9c9-afbd61ebb998/Large,Toro 52in 2000 Z MASTER TF2 DECK 24.5 HP V TWIN,toro.com,flag-shortfall,Toro CDN: 1 images,1,hero,3,https://reyco.glvmarketing.ca/product/toro-52in-2000-z-master-tf2-deck-24-5-hp-v-twin/
TORO-77404-LS,Toro ZT TimeCutter 42in Fab Deck V-Twin Briggs,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_8c77891e-640d-4c07-948f-6f25caea79ca/Large,Toro ZT TimeCutter 42in Fab Deck V-Twin Briggs,toro.com,ready,Toro CDN: 6 images,6,"hero,studio",0,https://reyco.glvmarketing.ca/product/toro-zt-timecutter-42in-fab-deck-v-twin-briggs/
TORO-77501-LS,Toro 50 IN TC FAB 23HP KAWI V-TWIN,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_84b49a22-d127-4b06-b662-56b958c0cbb8/Large,Toro 50 IN TC FAB 23HP KAWI V-TWIN,toro.com,ready,Toro CDN: 6 images,6,"hero,studio",0,https://reyco.glvmarketing.ca/product/toro-50-in-tc-fab-23hp-kawi-v-twin/
TORO-77502-LS,Toro 50 in. TimeCutter Max MyRide Zero Turn Mower,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_c2fbd4b8-5547-4176-90da-e04db5739fd8/Large,Toro 50 in. TimeCutter Max MyRide Zero Turn Mower,toro.com,ready,Toro CDN: 6 images,6,"hero,studio",0,https://reyco.glvmarketing.ca/product/toro-50-in-timecutter-max-myride-zero-turn-mower/
TORO-77503-LS,Toro TimeCutter MyRIDE 54in Zero Turn Riding Mower Kaw 23HP Fabricated,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_e7e81bcf-dd96-454d-accd-3ffbce6fb319/Large,Toro TimeCutter MyRIDE 54in Zero Turn Riding Mower Kaw 23HP Fabricated,toro.com,ready,Toro CDN: 6 images,6,"hero,studio",0,https://reyco.glvmarketing.ca/product/toro-timecutter-myride-54in-zero-turn-riding-mower-kaw-23hp-fabricated/
TORO-77507-LS,Toro 54in KAW 23HP HAVOC FAB DECK,Toro,https://cdn.thetorocompany.com/api/assetstorage/623_ff912caf-cac3-44a7-a8e5-0ee21a25d589/Large,Toro 54in KAW 23HP HAVOC FAB DECK,toro.com,flag-shortfall,Toro CDN: 3 images,3,"hero,studio",1,https://reyco.glvmarketing.ca/product/toro-54in-kaw-23hp-havoc-fab-deck/
