sku,product_title,brand,images_have,images_to_generate,fill_type,seed_hero_url,notes,shot_intent,nb_prompt_draft
HS-HS500-26,Hisun HS 500 — Utility ATV,Hisun,2,2,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/HiSun Dropbox Stuff/Lineup/HS Series/HS 500/,Seed: 2 Dropbox shots,front 3/4 outdoor dirt trail action; rear 3/4 outdoor; studio white bg hero,"Professional product photo of Hisun HS 500 — Utility ATV, front three-quarter view, outdoor dirt trail, natural lighting, action pose, no rider"
HS-FORGE400I-26,Hisun Forge 400i — Sport-Utility ATV,Hisun,3,1,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/HiSun Dropbox Stuff/Lineup/ATV/Forge/,Seed: 3 Dropbox shots,front 3/4 outdoor trail action; rear 3/4 outdoor; studio white bg hero,"Professional product photo of Hisun Forge 400i — Sport-Utility ATV sport-utility ATV, front three-quarter outdoor trail view, bright natural lighting, dynamic action pose, no rider"
HS-HS400-26,Hisun HS 400 Entry ATV,Hisun,2,2,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/HiSun Dropbox Stuff/Lineup/HS Series/HS400/,Seed: 2 Dropbox shots,front 3/4 outdoor dirt trail action; rear 3/4 outdoor; studio white bg hero,"Professional product photo of Hisun HS 400 Entry ATV, front three-quarter view, outdoor dirt trail, natural lighting, action pose, no rider"
MK-MK330PC-26,Minn Kota Precision Charger MK 330 PC,Minn Kota,2,2,hybrid-fill,https://johnsonoutdoors.widen.net/content/jtqt11mfb4/webp/MK_1833300_MK-330PC_3q2.webp,Seed: 2 Dropbox shots,studio alt-angle white bg; lifestyle dock/cabin install,"Professional product photo of Minn Kota MK 330 PC marine battery charger, three-quarter alternate angle, clean white studio background, professional product lighting"
MK-MK460PCL-26,Minn Kota Precision Charger MK 460 PCL,Minn Kota,1,3,hybrid-fill,https://johnsonoutdoors.widen.net/content/pv0vsj8xdx/webp/MK_1834604_MK-460PCL_3q.webp,Seed: 1 Dropbox shots,studio alt-angle white bg; lifestyle dock/cabin install; studio side profile,"Professional product photo of Minn Kota MK 460 PCL marine battery charger, three-quarter alternate angle, clean white studio background, professional product lighting"
HB-APEX16-26,Humminbird APEX 16 MEGA SI+ Chartplotter,Humminbird,1,3,hybrid-fill,https://johnsonoutdoors.widen.net/content/6col5o03mj/webp/HB_411500-1VX_APEXVX_16_alt1.webp,Seed: 1 Dropbox shots,front-on display screen visible; side mount profile in boat; lifestyle angler checking chart,"Professional product photo of Humminbird APEX 16 MEGA SI+ chartplotter fish finder, front-on view, display screen showing lake chart, studio neutral grey background, professional lighting"
HB-APEX16-CHO-26,Humminbird APEX 16 MEGA SI+ Chartplotter (CHO),Humminbird,1,3,hybrid-fill,https://johnsonoutdoors.widen.net/content/6col5o03mj/webp/HB_411500-1VX_APEXVX_16_alt1.webp,Seed: 1 Dropbox shots,front-on display screen visible; side mount profile in boat; lifestyle hero,"Professional product photo of Humminbird APEX 16 MEGA SI+ chartplotter, front-on view with display screen active, neutral studio background, professional product lighting"
EC-CS310-26,Echo CS-310 Chainsaw,Echo,3,1,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-310,Seed: 3 Dropbox shots,front 3/4 studio hero white bg; operator action lifestyle on log; close detail bar/chain,"Professional product photo of Echo CS-310 Chainsaw, front three-quarter view, clean white studio background, professional product lighting, guide bar and chain clearly visible"
EC-CS352-26,Echo CS-352 Chainsaw,Echo,3,1,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-352,Seed: 3 Dropbox shots,front 3/4 studio hero white bg; operator action lifestyle on log; close detail bar/chain,"Professional product photo of Echo CS-352 Chainsaw, front three-quarter view, clean white studio background, professional product lighting, guide bar and chain clearly visible"
EC-PB580T-26,Echo PB-580T Backpack Blower,Echo,2,2,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Blowers - Souffleurs/PB-580,Seed: 2 Dropbox shots,front 3/4 studio hero; operator wearing backpack blower outdoor lifestyle; detail nozzle/engine,"Professional product photo of Echo PB-580T Backpack Blower, front three-quarter view, clean white studio background, professional lighting, blower tube and nozzle clearly shown"
