file,url_path,title_sev,title_finding,title,desc_sev,desc_finding,h1_sev,h1_finding,canonical_sev,canonical_finding,alt_sev,alt_finding,schema_sev,schema_finding,php_sev,php_finding,empty_state_sev,empty_state_finding,overall_sev
_.txt,//,P2,LONG — 107 chars (>60),"Reyco Marine &amp; Small Engine Ltd. – Boats, Outdoor Power Equipment &amp; Smal",P1,GENERIC — site-wide fallback meta,OK,OK — 'You worked for this. Your weekends should show it.',P2,STAGING_DOMAIN — canonical points to reyco.glvmarketing.ca (needs reycomarine.com post-launch),P2,PARTIAL_ALT — 2/93 images,OK,OK — 2 schema block(s),OK,OK,OK,OK,P1
_about_meet_the_team_.txt,/about/meet/the/team/,OK,OK — 48 chars,Meet the Team – Reyco Marine &amp; Small Engine Ltd.,P1,GENERIC — site-wide fallback meta,P2,H1_EMPTY_TEXT — H1 present but text blank (JS render issue),P2,STAGING_DOMAIN — canonical points to reyco.glvmarketing.ca (needs reycomarine.com post-launch),OK,OK — 3/3 with alt,OK,OK — 1 schema block(s),OK,OK,OK,OK,P1
_blog_.txt,/blog/,OK,OK — 39 chars,Blog – Reyco Marine &amp; Small Engine Ltd.,P1,GENERIC — site-wide fallback meta,OK,OK — 'The Reyco Journal',P2,UNKNOWN_DOMAIN — canonical: BROKEN_IMG: 0,P2,PARTIAL_ALT — 1/18 images,OK,OK — 1 schema block(s),OK,OK,OK,OK,P1
_boats_and_marine_cannon_.txt,/boats/and/marine/cannon/,OK,OK — 53 chars,Cannon Downriggers – Reyco Marine &amp; Small Engine Ltd.,P1,GENERIC — site-wide fallback meta,P2,H1_EMPTY_TEXT — H1 present but text blank (JS render issue),P2,STAGING_DOMAIN — canonical points to reyco.glvmarketing.ca (needs reycomarine.com post-launch),OK,OK — 16/16 with alt,OK,OK — 1 schema block(s),OK,OK,OK,OK,P1
_boats_and_marine_cannon_catalogue_.txt,/boats/and/marine/cannon/catalogue/,OK,OK — 53 chars,Cannon Downriggers – Reyco Marine &amp; Small Engine Ltd.,P1,GENERIC — site-wide fallback meta,P2,H1_EMPTY_TEXT — H1 present but text blank (JS render issue),P2,STAGING_DOMAIN — canonical points to reyco.glvmarketing.ca (needs reycomarine.com post-launch),OK,OK — 4/4 with alt,OK,OK — 1 schema block(s),OK,OK,OK,OK,P1
_boats_and_marine_deck_boats_.txt,/boats/and/marine/deck/boats/,OK,OK — 45 chars,Deck Boats – Reyco Marine &amp; Small Engine Ltd.,P1,GENERIC — site-wide fallback meta,P2,H1_EMPTY_TEXT — H1 present but text blank (JS render issue),P2,STAGING_DOMAIN — canonical points to reyco.glvmarketing.ca (needs reycomarine.com post-launch),P2,PARTIAL_ALT — 1/12 images,OK,OK — 1 schema block(s),OK,OK,P2,EMPTY_STATES — 7 empty-state components fired (WC feed gap?),P1
_boats_and_marine_fish_finders_.txt,/boats/and/marine/fish/finders/,OK,OK — 47 chars,Fish Finders – Reyco Marine &amp; Small Engine Ltd.,P1,GENERIC — site-wide fallback meta,P2,H1_EMPTY_TEXT — H1 present but text blank (JS render issue),P2,STAGING_DOMAIN — canonical points to reyco.glvmarketing.ca (needs reycomarine.com post-launch),P2,PARTIAL_ALT — 1/54 images,OK,OK — 1 schema block(s),OK,OK,OK,OK,P1
_boats_and_marine_fishing_boats_.txt,/boats/and/marine/fishing/boats/,OK,OK — 48 chars,Fishing Boats – Reyco Marine &amp; Small Engine Ltd.,P1,GENERIC — site-wide fallback meta,P2,H1_EMPTY_TEXT — H1 present but text blank (JS render issue),P2,STAGING_DOMAIN — canonical points to reyco.glvmarketing.ca (needs reycomarine.com post-launch),P2,PARTIAL_ALT — 1/47 images,OK,OK — 1 schema block(s),OK,OK,OK,OK,P1
_boats_and_marine_humminbird_.txt,/boats/and/marine/humminbird/,OK,OK — 57 chars,Humminbird Electronics – Reyco Marine &amp; Small Engine Ltd.,P1,GENERIC — site-wide fallback meta,P2,H1_EMPTY_TEXT — H1 present but text blank (JS render issue),P2,STAGING_DOMAIN — canonical points to reyco.glvmarketing.ca (needs reycomarine.com post-launch),P2,PARTIAL_ALT — 1/75 images,OK,OK — 1 schema block(s),OK,OK,OK,OK,P1
_boats_and_marine_mercury_.txt,/boats/and/marine/mercury/,OK,OK — 52 chars,Mercury Outboards – Reyco Marine &amp; Small Engine Ltd.,P1,GENERIC — site-wide fallback meta,P2,H1_EMPTY_TEXT — H1 present but text blank (JS render issue),P2,STAGING_DOMAIN — canonical points to reyco.glvmarketing.ca (needs reycomarine.com post-launch),P2,PARTIAL_ALT — 1/96 images,OK,OK — 1 schema block(s),OK,OK,OK,OK,P1
