wc_sku,brand,tag_subcategory,tag_product_name,seo_title,seo_title_chars,meta_description,meta_chars,review_notes
2014-MERCURY-50-ELHP,Mercury,Outboards,50 HP Electric Start EFI Outboard,50 HP Electric Start EFI Outboard | Mercury | Reyco Marine,58,"50 HP Electric Start EFI Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",154,
2021-MERCURY-ME-2-5M,Mercury,Outboards,2.5 HP Outboard,2.5 HP Outboard | Mercury | Reyco Marine,40,"2.5 HP Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",136,
2021-MERCURY-ME-20-E,Mercury,Outboards,20 HP Electric Start Outboard,20 HP Electric Start Outboard | Mercury | Reyco Marine,54,"20 HP Electric Start Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",150,
2021-MERCURY-ME-5-MH,Mercury,Outboards,5 HP Liquid Propane Outboard Motor,5 HP Liquid Propane Outboard Motor | Mercury | Reyco Marine,59,"5 HP Liquid Propane Outboard Motor from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",155,
2022-EASY-HAULER-AL-,Easy Hauler,Boat Trailers,"20-Foot Drive-On Bunk Boat Trailer — 2,600 lb Capacity","20-Foot Drive-On Bunk Boat Trailer — 2,600 lb Capacity | Easy Hauler | Reyco Marine",83,"Boat trailer from Easy Hauler at Reyco Marine, Sault Ste. Marie — Northern Ontario marine dealer since 1970. Financing available.",129,
2022-MERCURY-ME-15-E,Mercury,Outboards,15 HP Electric Start Outboard,15 HP Electric Start Outboard | Mercury | Reyco Marine,54,"15 HP Electric Start Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",150,
2022-MERCURY-ME-20-M,Mercury,Outboards,20 HP Outboard,20 HP Outboard | Mercury | Reyco Marine,39,"20 HP Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",135,
2022-MERCURY-ME-30-E,Mercury,Outboards,30 HP EFI Outboard,30 HP EFI Outboard | Mercury | Reyco Marine,43,"30 HP EFI Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",139,
2022-MERCURY-ME-4MH-,Mercury,Outboards,4 HP Outboard,4 HP Outboard | Mercury | Reyco Marine,38,"4 HP Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",134,
2022-MERCURY-ME-5-MX,Mercury,Outboards,5 HP Liquid Propane Sailboat Outboard Motor,5 HP Liquid Propane Sailboat Outboard Motor | Mercury | Reyco Marine,68,"5 HP Liquid Propane Sailboat Outboard Motor from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating....",153,
2022-MERCURY-ME-60-E,Mercury,Outboards,60 HP EFI Outboard,60 HP EFI Outboard | Mercury | Reyco Marine,43,"60 HP EFI Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",139,
2022-MERCURY-ME-8MH-,Mercury,Outboards,8 HP Outboard,8 HP Outboard | Mercury | Reyco Marine,38,"8 HP Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",134,
2022-MERCURY-ME-9-9E,Mercury,Outboards,9.9 HP Electric Start Outboard,9.9 HP Electric Start Outboard | Mercury | Reyco Marine,55,"9.9 HP Electric Start Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",151,
2022-TORO-74055,Toro,Zero Turn Mowers,Toro TimeCutter Zero Turn Mower,Toro TimeCutter Zero Turn Mower | Toro | Reyco Marine,53,"Toro TimeCutter Zero Turn Mower from Toro at Reyco Marine — zero-turn mower, fast precise cut. Toro dealer, Sault Ste. Marie. Service available.",144,Multiple SKUs with same name — add deck width differentiator when Casey/LS confirms
2023-CUB-CADET-17AIE,Cub Cadet,Zero Turn Mowers,ZT2 54 Zero Turn,ZT2 54 Zero Turn | Cub Cadet | Reyco Marine,43,"ZT2 54 Zero Turn from Cub Cadet at Reyco Marine — zero-turn mower, fast precise cut. Cub Cadet dealer, Sault Ste. Marie. Service available.",139,
2023-CUB-CADET-17ARG,Cub Cadet,Zero Turn Mowers,ZT2 42 Zero Turn,ZT2 42 Zero Turn | Cub Cadet | Reyco Marine,43,"ZT2 42 Zero Turn from Cub Cadet at Reyco Marine — zero-turn mower, fast precise cut. Cub Cadet dealer, Sault Ste. Marie. Service available.",139,
2023-MERCURY-115-PRO,Mercury,Outboards,115 HP Pro XS Outboard,115 HP Pro XS Outboard | Mercury | Reyco Marine,47,"115 HP Pro XS Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",143,
2023-MERCURY-60-ELPT,Mercury,Outboards,60 HP Outboard,60 HP Outboard | Mercury | Reyco Marine,39,"60 HP Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",135,
2023-MERCURY-90-EXLP,Mercury,Outboards,90 HP Command Thrust Outboard,90 HP Command Thrust Outboard | Mercury | Reyco Marine,54,"90 HP Command Thrust Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",150,
2023-MERCURY-ME-15-E,Mercury,Outboards,15 HP Electric Start Outboard,15 HP Electric Start Outboard | Mercury | Reyco Marine,54,"15 HP Electric Start Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",150,
2023-MERCURY-ME-20-M,Mercury,Outboards,20 HP Outboard,20 HP Outboard | Mercury | Reyco Marine,39,"20 HP Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",135,
2023-MERCURY-ME-25-E,Mercury,Outboards,25 HP EFI Outboard,25 HP EFI Outboard | Mercury | Reyco Marine,43,"25 HP EFI Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",139,
2023-MERCURY-ME-3-5M,Mercury,Outboards,3.5 HP Outboard,3.5 HP Outboard | Mercury | Reyco Marine,40,"3.5 HP Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",136,
2023-MERCURY-ME-30-E,Mercury,Outboards,30 HP Electric Start EFI Outboard,30 HP Electric Start EFI Outboard | Mercury | Reyco Marine,58,"30 HP Electric Start EFI Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",154,
2023-MERCURY-ME-40-E,Mercury,Outboards,40 HP Electric Start EFI Outboard,40 HP Electric Start EFI Outboard | Mercury | Reyco Marine,58,"40 HP Electric Start EFI Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",154,
2023-MERCURY-ME-6MH,Mercury,Outboards,6 HP Outboard,6 HP Outboard | Mercury | Reyco Marine,38,"6 HP Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",134,
2023-MERCURY-ME-9-9E,Mercury,Outboards,9.9 HP Electric Start Outboard,9.9 HP Electric Start Outboard | Mercury | Reyco Marine,55,"9.9 HP Electric Start Outboard from Mercury — certified Mercury dealer, Sault Ste. Marie. 4-stroke outboard for Northern Ontario boating. Reyco Marine.",151,
2023-PRINCECRAFT-SPO,Princecraft,Fishing Boats,Sportfisher 21,Sportfisher 21 | Princecraft | Reyco Marine,43,"Sportfisher 21 from Princecraft at Reyco Marine — authorized Princecraft dealer, Sault Ste. Marie. Built for Northern Ontario lakes. Financing available.",153,
2024-CUB-CADET-17AIE,Cub Cadet,Zero Turn Mowers,ZT2 54 Zero Turn,ZT2 54 Zero Turn | Cub Cadet | Reyco Marine,43,"ZT2 54 Zero Turn from Cub Cadet at Reyco Marine — zero-turn mower, fast precise cut. Cub Cadet dealer, Sault Ste. Marie. Service available.",139,
2024-CUB-CADET-17ARG,Cub Cadet,Zero Turn Mowers,ZT2 42 Zero Turn,ZT2 42 Zero Turn | Cub Cadet | Reyco Marine,43,"ZT2 42 Zero Turn from Cub Cadet at Reyco Marine — zero-turn mower, fast precise cut. Cub Cadet dealer, Sault Ste. Marie. Service available.",139,
2024-EASY-HAULER-AL-,Easy Hauler,Boat Trailers,1000 lb Bunk Trailer,1000 lb Bunk Trailer | Easy Hauler | Reyco Marine,49,"1000 lb Bunk Trailer from Easy Hauler at Reyco Marine, Sault Ste. Marie — boat trailer for Northern Ontario. Marine dealer since 1970. Financing available.",155,
