sku,product_id,product_name,brand,category,current_image_url,image_w,image_h,image_source,current_image_issue,severity,proposed_action,proposed_image_url,notes
CAN-WT-10LB-26,274,Cannon Downrigger Weight — 10 lb Cannon Ball,Cannon,Downrigger Accessories,,0,0,none,no_image,SEVERE,none,NEEDS_SOURCING,
CAN-WT-4LB-26,271,Cannon Downrigger Weight — 4 lb Cannon Ball,Cannon,Downrigger Accessories,,0,0,none,no_image,SEVERE,none,NEEDS_SOURCING,
CAN-WT-6LB-26,272,Cannon Downrigger Weight — 6 lb Cannon Ball,Cannon,Downrigger Accessories,,0,0,none,no_image,SEVERE,none,NEEDS_SOURCING,
CAN-WT-8LB-26,273,Cannon Downrigger Weight — 8 lb Cannon Ball,Cannon,Downrigger Accessories,,0,0,none,no_image,SEVERE,none,NEEDS_SOURCING,
CAN-UNISTACKER-26,275,Cannon Uni-Stacker Release,Cannon,Downrigger Accessories,,0,0,none,no_image,SEVERE,none,NEEDS_SOURCING,
2023-CUB-CADET-17AIE,741,2023 Cub Cadet 17AIEACL010,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2023-CUB-CADET-17ARG,732,2023 Cub Cadet 17ARGBYEA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2024-CUB-CADET-17AIE,735,2024 Cub Cadet 17AIEAC2A10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2024-CUB-CADET-17AIE,738,2024 Cub Cadet 17AIEAC3A10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2024-CUB-CADET-17ARG,734,2024 Cub Cadet 17ARGBYLA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2025-CUB-CADET-17ARG,740,2025 Cub Cadet 17ARGBYNA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2025-CUB-CADET-17ARG,737,2025 Cub Cadet 17ARGBYNA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13A6A,533,2026 Cub Cadet 13A6A9TS596,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13A6A,512,2026 Cub Cadet 13A6A9TS596,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13A6A,466,2026 Cub Cadet 13A6A9TS596,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13A6A,386,2026 Cub Cadet 13A6A9TS596,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13A6A,373,2026 Cub Cadet 13A6A9TS596,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,547,2026 Cub Cadet 13APA1TEA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,483,2026 Cub Cadet 13APA1TEA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,469,2026 Cub Cadet 13APA1TEA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,441,2026 Cub Cadet 13APA1TEA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,423,2026 Cub Cadet 13APA1TEA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,417,2026 Cub Cadet 13APA1TEA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,405,2026 Cub Cadet 13APA1TEA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,400,2026 Cub Cadet 13APA1TEA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,562,2026 Cub Cadet 13APA1TNA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,526,2026 Cub Cadet 13APA1TNA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,442,2026 Cub Cadet 13APA1TNA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,438,2026 Cub Cadet 13APA1TNA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,725,2026 Cub Cadet 13APA9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,555,2026 Cub Cadet 13APA9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,499,2026 Cub Cadet 13APA9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,459,2026 Cub Cadet 13APA9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,458,2026 Cub Cadet 13APA9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13APA,457,2026 Cub Cadet 13APA9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13AQA,727,2026 Cub Cadet 13AQA1TLA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13AQA,726,2026 Cub Cadet 13AQA1TLA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13AQA,491,2026 Cub Cadet 13AQA1TLA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13AQA,482,2026 Cub Cadet 13AQA1TLA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
