ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Meta: _product_sku,Meta: _product_year,Meta: _product_condition,Meta: _product_stock_status,Meta: _product_specs,Meta: _product_expert_id,Meta: _product_expert_review,Meta: _lightspeed_unit_id,Meta: _product_price,Meta: _product_msrp,Meta: _lightspeed_vin,Meta: _lightspeed_web_title,Meta: _lightspeed_color,Meta: _lightspeed_class,Meta: _lightspeed_unit_type,Meta: _lightspeed_raw_json,Meta: _lightspeed_last_sync,Meta: _lightspeed_unmapped_type,Meta: _product_monthly_payment,Reyco Category Slug
214,simple,HS-STRK250R-26,,2026 Hisun Strike 250R UTV,1,0,visible,"Two-seat sport UTV sized for teen riders and a passenger. Governed power, selectable 2WD/4WD, four factory colours — the right step up from a single-rider quad.","<p>Most families come into the showroom with the same story: their kid has outgrown the youth quad, and they want a side-by-side that two people can ride together without putting a teen on a 750-class machine. The Strike 250R is the answer Reyco points them at. Governed speed, two seats, and proper sport-UTV manners scaled for a learner.</p><p>Kory has handed the keys to plenty of these. The customers who fit it best are parents with a son or daughter who already rides a quad confidently, families with cottage trails on St. Joseph Island or up around Goulais River, and the camp crowd that wants a way for the older kids to ride along without a parent having to chaperone every minute. Four factory colour options on the floor — Black Ops, Destroyer Grey, Tactical Tan, and Voodoo Blue.</p><p>Reyco is an authorised Hisun dealer. Warranty registers in-house at the parts counter, and Lee in the service department handles any service work the Strike line needs. That side of the building does the engine and ATV/UTV work for the whole shop, so the Strike is not a side project — it sits in the same bay as the Sectors and the Strykers.</p><p>Selectable 2WD/4WD with a CVT transmission (H/L/N/R/P) keeps the controls simple enough for a teen rider to actually learn good habits instead of fighting the machine. For families wanting a real teaching machine that is also a legitimate two-seater for short trail runs, this is the one to look at first. Drop in to White Oak Drive to sit one — Kory or any of the sales floor will walk you through the differences against the Strike 550R if your rider is ready to size up. 11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p><p>Trade-in conversation is open if you are coming off a youth quad — Lynn at the parts counter starts those, and we can take a look at what your rider is graduating from. Accessory bundle worth asking about: a half-windshield, a set of teen-fit safety harnesses, and a basic rear cargo box for the family-camp use case.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_stike250blue-110557.png,,,,,,,,,0,Hisun,HS-STRK250R-26,2026,new,on_order,"Make|Hisun
Model|Strike 250R
Year|2026
Type|UTV
Class|UTV",8,"Of all the Hisuns I sell to families, the Strike 250R is the one I steer the parents-with-teen-riders crowd toward. Most of these go home with someone whose kid has already done a couple seasons on a quad and is ready for two-up trail riding. The governed power is the part parents care about — they want the safety floor without a kid being stuck on a junior toy. I have handed keys to families heading to camps at Searchmont and out past Goulais, and they come back at the end of the season telling me the rider grew into it without anyone getting hurt. Lee in the service department keeps the Hisun warranty side covered, which matters when you are putting your kid on the seat. Drop in if you want to see one on the floor — we usually have a couple of the four colours in stock.",,,,,,,,,,,,,utvs
215,simple,HS-STRK550R-26,,2026 Hisun Strike 550R UTV,1,0,visible,"Full-size two-seat sport UTV. 550-class power, long-travel suspension, four factory colours — sport capability without the flagship sticker.","<p>The Strike 550R is where the sport line moves from teaching machine to actual trail performer. Two seats, the 550 series engine, long-travel suspension, and the ground clearance to handle Northern Ontario terrain without bottoming out on the rough sections between Searchmont and the forestry road network.</p><p>This is the Hisun that competes most directly with bigger-name sport UTVs on capability while sitting at a price the rider actually pays for. Kory's regulars on the trail-rider side fall into two crowds: the weekend warriors who want a sport machine they can flog without sweating an oil seal, and the long-time quad guys finally moving to a side-by-side. Both come back happy because the Strike 550R does sport work the way a sport UTV should — no excuses, no apology for the price tag. Four factory colours stocked: Black Ops, Destroyer Grey, Tactical Tan, Voodoo Blue.</p><p>Reyco is an authorised Hisun dealer. Warranty registration goes through the parts counter on White Oak Drive — Lynn manages that desk, with Ron pulling parts when the Hisun catalogue needs picking — and Lee in the service department covers the bench-side work. That setup means a customer is not stuck shipping the machine somewhere when something needs attention.</p><p>CVT transmission with a full H/L/N/R/P shift, selectable 2WD/4WD, and the suspension travel that earns its keep the first time you ride a real trail at speed. For trail riders sizing up out of an ATV, or for someone who has had a sport UTV before and wants to put another one in the garage without taking on flagship pricing, this is the floor model worth seeing. Drop in to 11 White Oak Drive East or call 705-253-7828 to confirm what colour we have on the floor today.</p><p>Common accessory adds for the Strike 550R: a full windshield for shoulder-season trail rides, a winch-bumper combo for rougher Crown-land riding, and a basic rear-rack mount. Ron at the parts counter knows which ones fit factory and which ones add up at install — worth asking before ordering blind.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_strike550blue-110937.png,,,,,,,,,0,Hisun,HS-STRK550R-26,2026,new,on_order,"Make|Hisun
Model|Strike 550R
Year|2026
Type|UTV
Class|UTV",8,"The Strike 550R is the Hisun I move the most of to weekend trail riders. Customers I have sold to in this segment — guys who run the forestry roads up past Searchmont, riders who load up and head to Iron Bridge for the long-loop weekends — they come back telling me the suspension is the part that surprised them. They expected the engine to perform; the ride quality on rough trail is the bit they did not. Hisun has earned a real spot in the sport segment, and the Strike sits in the meaty middle of it. Lee on the service bench handles anything that comes up, and the warranty registers right here. If you are weighing this against the MP9 550R, stop in — same engine class, different chassis intent, and we can talk through which one fits your riding.",,,,,,,,,,,,,utvs
